"module name","licenses","repository"
"@firebase/app@0.6.9","Apache-2.0","https://github.com/firebase/firebase-js-sdk"
"@firebase/messaging@0.6.21","Apache-2.0","https://github.com/firebase/firebase-js-sdk"
"@quasar/extras@1.9.5","MIT","https://github.com/quasarframework/quasar"
"@sentry/browser@5.20.1","BSD-3-Clause","https://github.com/getsentry/sentry-javascript"
"@sentry/integrations@5.20.1","BSD-3-Clause","https://github.com/getsentry/sentry-javascript"
"axios-mock-adapter@1.18.2","MIT","https://github.com/ctimmerm/axios-mock-adapter"
"axios@0.19.2","MIT","https://github.com/axios/axios"
"change-case@4.1.1","MIT","https://github.com/blakeembrey/change-case"
"core-js@3.6.5","MIT","https://github.com/zloirock/core-js"
"date-fns@2.16.1","MIT","https://github.com/date-fns/date-fns"
"faker@5.1.0","MIT","https://github.com/Marak/Faker.js"
"leaflet@1.6.0","BSD-2-Clause","https://github.com/Leaflet/Leaflet"
"quasar@1.13.1","MIT","https://github.com/quasarframework/quasar"
"vue-browser-geolocation@1.8.0","MIT","https://github.com/scaccogatto/vue-geolocation"
"vue2-leaflet-markercluster@3.1.0","MIT","https://github.com/jperelli/vue2-leaflet-markercluster"
"vue2-leaflet@2.5.2","MIT","https://github.com/vue-leaflet/Vue2Leaflet"
"vuelidate@0.7.5","MIT","https://github.com/monterail/vuelidate"
